delta_score,deviation_from_pv,threats_to_opponent,threats_from_opponent,legal_moves_diff,sacrifice,advantage_change,mate_distance,king_under_attack,is_capture,is_check,is_checkmate,cnt_promotion,is_used_promotion,is_castling,target
-19.666666666666742,1,2,1,0,0,0,0.0,0,False,False,False,0,False,False,0
-21.33333333333337,0,1,2,0,0,0,0.0,0,False,False,False,0,False,False,0
29.33333333333337,0,2,1,-1,0,0,0.0,0,False,False,False,0,False,False,0
-132.66666666666663,1,1,2,1,0,0,0.0,0,False,False,False,0,False,False,0
86.0,0,1,1,-1,0,0,0.0,0,True,False,False,0,False,False,0
6.666666666666629,0,1,0,-1,0,0,0.0,0,False,False,False,0,False,False,0
-35.0,1,1,1,-1,0,0,0.0,0,False,False,False,0,False,False,0
-163.66666666666663,0,1,1,1,0,0,0.0,0,False,False,False,0,False,False,0
-128.66666666666663,1,0,1,0,0,0,0.0,0,True,False,False,0,False,False,0
41.66666666666674,1,1,0,0,0,0,0.0,0,False,False,False,0,False,False,0
35.33333333333337,0,1,1,0,0,0,0.0,0,False,False,False,0,False,False,0
-7.666666666666629,0,1,1,1,0,0,0.0,0,False,False,False,0,False,False,0
-90.0,1,0,1,0,0,0,0.0,0,True,False,False,0,False,False,0
-26.0,0,1,0,-1,0,0,0.0,0,False,False,False,0,False,False,0
65.33333333333337,0,0,1,0,0,0,0.0,0,False,False,False,0,False,False,0
1.6666666666666288,1,1,0,1,0,0,0.0,0,False,False,False,0,False,False,0
170.66666666666663,1,0,1,0,0,0,0.0,0,False,False,False,0,False,False,0
80.0,0,1,0,-1,0,0,0.0,0,False,False,False,0,False,False,0
200.33333333333326,1,1,2,-8,0,0,0.0,1,False,True,False,0,False,False,0
-8.0,1,2,0,-1,0,0,0.0,0,False,False,False,0,False,False,0
-243.66666666666663,1,0,2,0,0,0,0.0,0,False,False,False,0,False,False,0
-190.0000000000001,1,1,0,2,0,0,0.0,0,False,False,False,0,False,False,0
-9.0,1,0,1,0,0,0,0.0,0,False,False,False,0,False,False,0
-150.33333333333326,1,2,0,-2,0,0,0.0,0,False,False,False,0,False,False,0
-209.0,1,0,2,0,0,0,0.0,0,False,False,False,0,False,False,0
-3089.3333333333335,0,1,0,2,0,0,-6.0,0,False,False,False,0,False,False,0
5933.0,0,0,1,-2,0,0,3.6666666666666665,0,False,False,False,0,False,False,0
5607.666666666667,0,1,0,1,0,0,-3.0,0,False,False,False,0,False,False,0
5609.333333333333,0,0,1,-1,0,0,2.0,0,False,False,False,0,False,False,0
-0.33333333333393966,1,2,1,1,0,0,-1.6666666666666667,0,True,False,False,0,False,False,0
1.6666666666660603,0,2,1,-7,0,0,-0.0,1,False,True,True,1,True,False,0
7.666666666666668,0,0,0,0,0,0,0.0,0,False,False,False,0,False,False,0
10.666666666666668,0,0,0,-1,0,0,0.0,0,False,False,False,0,False,False,0
6.666666666666664,0,1,1,1,0,0,0.0,0,False,False,False,0,False,False,0
-13.000000000000004,1,2,2,1,0,0,0.0,0,False,False,False,0,False,False,0
30.333333333333336,0,1,1,-1,0,0,0.0,0,True,False,False,0,False,False,0
7.0,0,0,1,-2,0,0,0.0,0,False,False,False,0,False,False,0
-8.333333333333336,0,0,0,0,0,0,0.0,0,False,False,False,0,False,False,0
12.333333333333336,0,1,0,0,0,0,0.0,0,False,False,False,0,False,False,0
32.66666666666667,0,1,1,0,0,0,0.0,0,False,False,False,0,False,False,0
